año;mes;inflación
1969;3;0.021469831
1969;4;0.027139045
1969;5;-0.002642198
1969;6;0.007459874
1969;7;0.01520536
1969;8;0.008052367
1969;9;0.003644613
1969;10;0.021766842
1969;11;0.004120145
1969;12;0.007914135
1970;1;0.027544129
1970;2;0.012299007
1970;3;0.016401932
1970;4;0.012629578
1970;5;0.017309944
1970;6;0.007941792
1970;7;0.01017221
1970;8;0.004166161
1970;9;0.01292105
1970;10;0.008761296
1970;11;0.015240072
1970;12;0.046827361
1971;1;0.005276774
1971;2;0.02515466
1971;3;0.010398484
1971;4;0.007979795
1971;5;0.016331094
1971;6;0.028403251
1971;7;0.021606216
1971;8;0.014239636
1971;9;0.023286484
1971;10;0.066575837
1971;11;0.011054721
1971;12;0.081501919
1972;1;0.045295529
1972;2;0.05335492
1972;3;0.077974364
1972;4;0.11246482
1972;5;0.031602104
1972;6;0.025529883
1972;7;0.054973668
1972;8;0.047194227
1972;9;0.01503744
1972;10;0.13356983
1972;11;0.084317512
1972;12;0.011245978
1973;1;0.203465029
1973;2;0.020534988
1973;3;0.019461623
1973;4;0.022
1973;5;0.028375734
1973;6;0.036156042
1973;7;0.153351699
1973;8;0.038216561
1973;9;0.036042945
1973;10;0.049592894
1973;11;-0.010578279
1973;12;0.010691376
1974;1;0.167842031
1974;2;0.025362319
1974;3;0.030035336
1974;4;0.026872499
1974;5;0.026726058
1974;6;0.037418655
1974;7;0.075274438
1974;8;0.03889159
1974;9;0.075339261
1974;10;0.070496084
1974;11;0.103252033
1974;12;0.082535004
1975;1;0.021102791
1975;2;0.080666667
1975;3;0.041024059
1975;4;0.034962963
1975;5;0.036072144
1975;6;0.019618679
1975;7;0.024119241
1975;8;0.031489812
1975;9;0.059517701
1975;10;0.039951574
1975;11;0.024447031
1975;12;0.114090909
1976;1;0.00877193
1976;2;0.005460061
1976;3;0.017699115
1976;4;0.020158103
1976;5;0.022859357
1976;6;0.011931818
1976;7;0.077110238
1976;8;0.056646394
1976;9;0.045222825
1976;10;0.032252989
1976;11;0.012650511
1976;12;0.032661048
1977;1;0.04751494
1977;2;0.063865312
1977;3;0.032173686
1977;4;0.035478966
1977;5;0.037322565
1977;6;0.044591247
1977;7;0.050931677
1977;8;0.032882012
1977;9;0.054307116
1977;10;0.034339846
1977;11;0.014405648
1977;12;0.0148594
1978;1;0.011769067
1978;2;0.027202784
1978;3;0.026928221
1978;4;0.052531041
1978;5;0.027553209
1978;6;0.028821452
1978;7;0.033554428
1978;8;0.034956587
1978;9;0.040560257
1978;10;0.037507011
1978;11;0.014460437
1978;12;0.049490442
1979;1;0.056105611
1979;2;0.047415865
1979;3;0.025876413
1979;4;0.045525727
1979;5;0.071520274
1979;6;0.041984923
1979;7;0.033968954
1979;8;0.095825031
1979;9;0.045963889
1979;10;0.034039457
1979;11;0.070451169
1979;12;0.053871439
1980;1;0.036492809
1980;2;0.043968169
1980;3;0.019697018
1980;4;0.02566116
1980;5;0.034696065
1980;6;0.036314668
1980;7;0.056175925
1980;8;0.025823374
1980;9;0.020744919
1980;10;0.041137279
1980;11;0.013914726
1980;12;0.008146191
1981;1;0.021814564
1981;2;0.025433389
1981;3;0.022810959
1981;4;0.019630485
1981;5;0.019452402
1981;6;0.028077283
1981;7;0.030785203
1981;8;0.034428891
1981;9;0.021380598
1981;10;0.020368857
1981;11;0.016168087
1981;12;0.000262679
1982;1;0.010560672
1982;2;0.005252998
1982;3;-0.002714331
1982;4;0.016774671
1982;5;0.009214072
1982;6;0.012792754
1982;7;0.027560528
1982;8;0.015031728
1982;9;0.007378939
1982;10;0.008935687
1982;11;-0.005865152
1982;12;0.086247993
1983;1;0.154177755
1983;2;0.027857181
1983;3;0.012370458
1983;4;0.039767794
1983;5;0.007739089
1983;6;0.021752841
1983;7;0.023177846
1983;8;0.031465512
1983;9;0.04919894
1983;10;0.052171347
1983;11;0.000384376
1983;12;0.010997227
1984;1;0.072127039
1984;2;0.040468298
1984;3;0.022752804
1984;4;0.045429582
1984;5;0.045151956
1984;6;0.06338063
1984;7;0.061284424
1984;8;0.0399743
1984;9;0.030174532
1984;10;0.055310217
1984;11;0.018281972
1984;12;0.025684443
1985;1;0.048635714
1985;2;0.032370474
1985;3;0.065138301
1985;4;0.09996032
1985;5;0.04131893
1985;6;0.02991028
1985;7;0.068398743
1985;8;0.037672996
1985;9;0.034976876
1985;10;0.040354943
1985;11;0.066449117
1985;12;0.056931586
1986;1;0.0565
1986;2;0.036535731
1986;3;0.053785042
1986;4;0.048700173
1986;5;0.023962981
1986;6;0.048579729
1986;7;0.062952132
1986;8;0.043006082
1986;9;0.044842427
1986;10;0.051886792
1986;11;0.045348323
1986;12;0.031055525
1987;1;0.039437445
1987;2;0.033712933
1987;3;0.069862565
1987;4;0.025386145
1987;5;0.020780512
1987;6;0.044611114
1987;7;0.064292042
1987;8;0.033511477
1987;9;0.025049803
1987;10;0.048048296
1987;11;0.044109524
1987;12;0.014245768
1988;1;0.037591744
1988;2;0.037630162
1988;3;0.047581147
1988;4;0.048723285
1988;5;0.023308555
