"";"deserta";"educ_jefe";"hermanos";"jmujer";"miembros";"aglomerado";"edad";"ch07";"ch08";"ch10";"ch11";"ch13";"ch14";"nivel_ed";"estado";"cat_ocup";"cat_inac";"intensi";"ingresos_familiares";"ingreso_per_capita";"mujer"
"146";0;6;2;1;4;3;16;5;1;1;1;2;"05";3;3;0;3;NA;0;0;0
"147";0;4;2;0;4;3;17;5;1;1;1;2;"04";3;3;0;3;NA;57400;14350;0
"148";0;7;2;0;4;3;15;5;4;1;1;2;"01";3;3;0;3;NA;0;0;0
"149";0;4;2;1;3;3;16;5;1;1;1;2;"04";3;3;0;3;NA;25000;8333,33;0
"150";0;4;3;0;5;3;19;5;12;1;1;2;"06";3;3;0;3;NA;0;0;1
"151";0;4;3;0;5;3;15;5;12;1;1;2;"03";3;3;0;3;NA;0;0;1
"152";0;6;2;0;4;3;13;5;1;1;1;2;"01";3;3;0;3;NA;0;0;1
"153";0;4;3;0;5;3;14;5;1;1;1;2;"02";3;3;0;3;NA;38000;7600;1
"154";1;4;3;0;5;3;17;5;1;2;0;2;"04";3;1;4;0;2;38000;7600;0
"155";0;4;2;0;4;3;18;5;1;2;0;1;"";4;3;0;7;NA;0;0;0
"156";0;7;2;0;4;3;15;5;1;1;1;2;"03";3;3;0;3;NA;0;0;1
"157";0;4;3;1;5;3;15;5;4;1;1;2;"00";3;3;0;3;NA;24860;4972;0
"158";0;4;2;0;5;3;13;5;4;1;2;2;"01";3;3;0;3;NA;0;0;0
"159";0;2;1;1;3;3;15;5;4;1;1;2;"01";3;3;0;3;NA;16500;5500;1
"160";0;2;3;0;7;3;16;5;4;1;1;2;"03";3;3;0;3;NA;23200;3314,29;1
"161";0;2;1;0;3;3;17;5;1;1;1;2;"05";3;3;0;3;NA;64600;21533,33;1
"162";0;4;1;0;3;3;15;5;1;1;1;2;"03";3;3;0;3;NA;80000;26666,67;1
"163";0;6;3;0;5;3;14;5;1;1;1;2;"01";3;3;0;3;NA;55000;11000;0
"164";0;2;1;0;3;3;15;5;4;1;2;2;"03";3;3;0;3;NA;0;0;1
"165";0;2;1;1;2;3;16;5;1;1;1;2;"03";3;3;0;3;NA;0;0;0
"166";0;7;3;0;5;3;17;5;1;1;2;2;"05";3;3;0;3;NA;90000;18000;1
"167";0;7;3;0;5;3;13;5;1;1;2;2;"00";3;3;0;3;NA;90000;18000;1
"168";0;7;3;0;5;3;13;5;1;1;2;2;"00";3;3;0;3;NA;90000;18000;0
"169";0;2;4;0;6;3;16;5;1;1;1;2;"04";3;3;0;3;NA;0;0;1
"170";0;2;4;0;6;3;14;5;1;1;1;2;"02";3;3;0;3;NA;0;0;0
"171";0;2;4;0;6;3;15;5;1;1;1;2;"03";3;3;0;3;NA;65000;10833,33;1
"172";0;2;4;0;6;3;13;5;1;1;1;2;"01";3;3;0;3;NA;65000;10833,33;1
"173";0;2;3;0;6;3;15;5;1;1;1;2;"03";3;3;0;3;NA;62000;10333,33;1
"174";0;2;3;0;5;3;16;5;1;1;1;2;"03";3;3;0;3;NA;0;0;0
"175";0;2;3;0;5;3;15;5;1;1;1;2;"02";3;3;0;3;NA;0;0;1
"176";0;4;2;0;4;3;16;5;1;1;1;2;"04";3;3;0;3;NA;80000;20000;1
"177";0;6;2;0;5;3;15;5;1;1;2;2;"02";3;3;0;3;NA;0;0;1
"178";0;2;3;1;4;3;16;5;4;1;1;2;"02";3;3;0;3;NA;25400;6350;0
"179";0;6;1;0;3;3;18;5;1;1;1;2;"05";3;3;0;3;NA;0;0;0
"180";0;6;4;0;6;3;15;5;1;1;2;2;"02";3;3;0;3;NA;120000;20000;0
"181";0;2;3;0;7;3;15;5;4;1;1;2;"00";3;3;0;3;NA;30000;4285,71;0
"182";0;2;3;1;4;3;14;5;1;1;1;2;"00";3;3;0;3;NA;5000;1250;1
"183";0;7;2;0;4;3;16;5;1;1;1;2;"04";3;3;0;3;NA;115000;28750;1
"184";0;4;2;0;4;3;13;5;1;1;1;2;"01";3;3;0;3;NA;50400;12600;1
"185";0;4;2;0;4;3;16;5;4;1;1;2;"03";3;3;0;3;NA;0;0;1
"186";0;4;3;1;6;3;13;5;4;1;1;2;"00";3;3;0;3;NA;0;0;0
"187";1;4;4;0;7;3;19;5;1;1;1;2;"05";3;1;3;0;1;0;0;0
"188";0;4;4;0;7;3;15;5;1;1;1;2;"04";3;3;0;3;NA;0;0;0
"189";0;4;1;0;3;3;17;5;1;1;1;2;"02";3;3;0;3;NA;0;0;0
"190";0;4;3;0;5;3;17;5;1;1;1;2;"04";3;3;0;3;NA;0;0;0
"191";0;7;1;1;2;3;14;5;1;1;1;2;"02";3;3;0;3;NA;52000;26000;0
