"";"ID";"anio";"mes";"dpto";"region_4";"e26";"e27";"e29_6";"e36";"e49";"e202";"e197_1";"e51_2";"e51_3";"e201_1a";"e201_1b";"e201_1c";"e201_1d";"e51_4_a";"e51_4_b";"e51_5";"e51_6";"e51_8";"e51_9";"e51_10";"e51_11";"e224_1";"f85";"f124_1";"f124_2";"f124_3";"f124_5";"f73";"pobpcoac";"pt1";"pt2";"pt4";"edu";"exp";"lpt1";"lpt4";"exp2"
"42";48;2021;7;1;1;1;36;3;5;1;0;1;6;0;1;0;0;1;3;0;0;3;0;4;0;0;0;41;2;2;2;1;2;2;125177;123093,5;123094;16;14;11,7374826832529;11,7206995081789;196
"43";48;2021;7;1;1;2;32;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;30;2;2;2;1;9;2;13094;13093,5;13094;17;9;9,47987120284351;9,47987120284351;81
"44";49;2021;7;1;1;1;58;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;0;0;50;2;2;2;1;4;2;153094;153093,5;153094;17;35;11,9388041248333;11,9388041248333;1225
"45";49;2021;7;1;1;2;55;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;6;0;0;0;50;2;2;2;1;9;2;3094;3093,5;3094;18;31;8,03705841497104;8,03705841497104;961
"46";49;2021;7;1;1;1;25;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;20;2;2;2;1;9;2;8000;8000;8000;12;7;8,98719682066197;8,98719682066197;49
"47";50;2021;7;1;1;1;59;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;2;0;0;35;2;2;2;2;1;2;106094;106093,5;106094;14;39;11,572076059766;11,572076059766;1521
"48";52;2021;7;1;1;2;56;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;3;0;0;30;2;2;2;1;1;2;31594;31593,5;31594;15;35;10,3607066822141;10,3607066822141;1225
"49";52;2021;7;1;1;1;68;3;0;1;0;1;6;0;1;0;1;0;3;0;3;0;0;5;0;2;1;40;1;2;2;2;4;2;271427;157500;205594;19;43;12,5114478915521;12,2336561972774;1849
"50";53;2021;7;1;1;2;54;3;0;1;0;1;6;0;1;0;2;0;3;0;2;0;0;0;0;0;0;18;2;2;2;1;1;2;25094;24093,5;25094;11;37;10,1303641274394;10,1303641274394;1369
"51";53;2021;7;1;1;1;49;3;0;1;0;1;6;0;1;0;0;1;3;0;0;3;0;0;0;0;0;44;2;2;2;2;1;2;46094;46093,5;46094;12;31;10,7384272212128;10,7384272212128;961
"52";54;2021;7;1;1;1;28;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;4;0;0;0;45;2;2;2;1;9;2;45094;45093,5;45094;16;6;10,7164933909354;10,7164933909354;36
"53";55;2021;7;1;1;2;41;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;4;0;0;0;0;20;2;2;2;1;2;2;86094;50093,5;86094;16;19;11,363189193954;11,363189193954;361
"54";56;2021;7;1;1;2;60;3;5;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;2;2;2;1;9;2;30000;30000;30000;6;48;10,3089526606443;10,3089526606443;2304
"55";57;2021;7;1;1;2;55;3;1;1;0;1;6;0;1;2;0;0;3;2;0;0;0;0;0;0;0;35;2;2;2;1;1;2;63094;63093,5;63094;11;38;11,0523730321298;11,0523730321298;1444
"56";58;2021;7;1;1;2;38;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;0;1;1;0;0;30;2;2;2;1;2;2;62094;55093,5;55094;14;18;11,036396592556;10,9167870208502;324
"57";59;2021;7;1;1;2;42;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;3;0;0;0;35;2;2;2;2;1;2;65543;64143,44;64143;15;21;11,0904684079062;11,0688771044875;441
"58";60;2021;7;1;1;1;39;3;0;1;0;1;6;0;1;0;1;2;3;0;3;2;0;0;2;0;0;35;2;2;2;2;1;2;69094;69093,5;69094;16;17;11,143215938761;11,143215938761;289
"59";61;2021;7;1;1;2;44;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;1;0;0;0;35;2;2;2;1;2;2;102116;102093,5;102094;13;25;11,5338647009839;11,5336443390508;625
"60";62;2021;7;1;1;1;64;3;2;1;0;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;30;2;2;2;2;1;2;29094;29093,5;29094;10;48;10,2782700605117;10,2782700605117;2304
"61";62;2021;7;1;1;2;56;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;4;0;0;0;36;2;2;2;1;1;2;67000;67000;67000;16;34;11,1124478983731;11,1124478983731;1156
"62";63;2021;7;1;1;1;35;3;5;1;0;1;6;0;1;0;2;0;3;0;1;0;0;0;0;0;0;30;2;2;2;1;2;2;42094;42093,5;42094;10;19;10,6476486134512;10,6476486134512;361
"63";65;2021;7;1;1;1;34;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;4;0;0;0;24;2;2;2;1;1;2;101094;71093,5;101094;16;12;11,5238011101623;11,5238011101623;144
"64";66;2021;7;1;1;2;42;3;5;1;0;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;25;2;2;2;1;1;2;55094;55093,5;55094;9;27;10,9167870208502;10,9167870208502;729
"65";67;2021;7;1;1;2;46;3;0;1;0;1;6;0;1;0;2;0;3;0;2;0;0;0;0;0;0;45;2;2;2;1;1;2;55094;55093,5;55094;11;29;10,9167870208502;10,9167870208502;841
"66";67;2021;7;1;1;1;43;3;0;1;0;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;45;1;2;2;2;1;2;74094;54093,5;54094;9;28;11,2130830881384;10,8984693097419;784
"67";69;2021;7;1;1;2;42;3;1;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;40;2;2;2;1;1;2;121094;121093,5;121094;12;24;11,7043182534516;11,7043182534516;576
"68";70;2021;7;1;1;1;60;3;5;1;0;1;6;0;1;0;1;0;3;0;3;0;0;0;0;0;0;50;2;2;2;1;1;2;128577;127493,5;127494;12;42;11,7642819294046;11,7558206618889;1764
"69";73;2021;7;1;1;1;43;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;0;6;0;0;0;40;2;2;2;1;9;2;13094;13093,5;13094;18;19;9,47987120284351;9,47987120284351;361
"70";74;2021;7;1;1;2;57;3;2;1;0;1;6;0;1;0;1;0;3;0;3;0;0;8;0;4;1;24;2;2;2;1;2;2;165143;79143,44;163143;24;27;12,0145697085647;12,0023850928159;729
"71";78;2021;7;1;1;2;38;3;0;1;0;1;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;10;2;2;2;1;9;2;7094;7093,5;7094;9;23;8,86693415075204;8,86693415075204;529
