Referencia;Nombre_jugador;Equipo;Posición;Edad ;Salario;Posicion;Rango_edad
270;Boban Marjanovic; HOU;C ;34 ;3500000;pivot;4
271;Georges Niang; PHI;SF ;29 ;3465000;Alero;3
272;Isaiah Stewart; DET;C ;21 ;3433320;pivot;1
273;Chuma Okeke; ORL;PF ;24 ;3433320;ala;2
274;Amir Coffey; LAC;SG ;25 ;3395062;Escolta;2
275;Alperen Sengun; HOU;C ;20 ;3375360;pivot;1
276;Tari Eason; HOU;SF ;21 ;3359160;Alero;1
277;Aleksej Pokusevski; OKC;PF ;21 ;3261480;ala;1
278;Kevin Porter Jr.; HOU;SG ;22 ;3217631;Escolta;1
279;Trey Murphy III; NOP;SG ;22 ;3206520;Escolta;1
280;Simone Fontecchio; UTH;SF ;27 ;3205128;Alero;3
281;Andre Drummond; CHI;C ;29 ;3200000;pivot;3
282;Derrick Jones Jr.; CHI;SF ;25 ;3200000;Alero;2
283;Dalen Terry; CHI;PG ;20 ;3191400;Base;1
284;Josh Green; DAL;SG ;22 ;3098400;Escolta;1
285;Jake LaRavia; MEM;PF ;21 ;3047640;ala;1
286;Tre Mann; OKC;PG ;21 ;3046200;Base;1
287;Kevin Knox; DET;SF ;23 ;3000000;Alero;2
288;Sterling Brown; HOU;SG ;27 ;3000000;Escolta;3
289;Saddiq Bey; DET;SG ;23 ;2959080;Escolta;2
290;Malaki Branham; SAS;SG ;19 ;2925600;Escolta;1
291;Precious Achiuwa; TOR;PF ;23 ;2840160;ala;2
292;Christian Braun; DEN;SG ;21 ;2808600;Escolta;1
293;Jalen Johnson; ATL;SF ;21 ;2792640;Alero;1
294;Tyrese Maxey; PHI;PG ;22 ;2726880;Base;1
295;Walker Kessler; UTH;C ;21 ;2696400;pivot;1
296;Keon Johnson; POR;SG ;20 ;2681040;Escolta;1
297;Trey Lyles; SAC;PF ;27 ;2625000;ala;3
298;Zeke Nnaji; DEN;PF ;22 ;2617800;ala;1
299;David Roddy; MEM;PF ;21 ;2588640;ala;1
300;Isaiah Jackson; IND;PF ;21 ;2573760;ala;1
301;MarJon Beauchamp; MIL;SG ;22 ;2485200;Escolta;1
302;Leandro Bolmaro; UTH;SG ;22 ;2471160;Escolta;1
303;Usman Garuba; HOU;PF ;20 ;2471160;ala;1
304;Willy Hernangomez; NOP;C ;28 ;2443581;pivot;3
305;RJ Hampton; ORL;PG ;21 ;2412840;Base;1
306;Blake Wesley; SAS;SG ;19 ;2385480;Escolta;1
307;Josh Christopher; HOU;SG ;21 ;2372160;Escolta;1
308;Stanley Johnson; LAL;SF ;26 ;2351521;Alero;2
309;Immanuel Quickley; NYK;SG ;23 ;2316240;Escolta;2
310;Wendell Moore Jr.; MIN;SF ;21 ;2306520;Alero;1
311;John Konchar; MEM;SG ;26 ;2300000;Escolta;2
312;Damian Jones; LAL;C ;27 ;2298385;pivot;3
313;Quentin Grimes; NYK;SG ;22 ;2277000;Escolta;1
314;Andrew Nembhard; IND;PG ;23 ;2244111;Base;2
315;Nikola Jovic; MIA;SF ;19 ;2239920;Alero;1
316;Payton Pritchard; BOS;PG ;25 ;2239200;Base;2
317;Vlatko Cancar; DEN;SF ;25 ;2234359;Alero;2
318;Patrick Baldwin Jr.; GSW;SG ;20 ;2226000;Escolta;1
319;TyTy Washington Jr.; HOU;PG ;21 ;2210040;Base;1
320;Nah'Shon Hyland; DEN;PG ;22 ;2201520;Base;1
321;Bol Bol; ORL;C ;23 ;2200000;pivot;2
322;Peyton Watson; DEN;SG ;20 ;2193960;Escolta;1
323;Marquese Chriss; HOU;SF ;25 ;2193920;Alero;2
324;Udoka Azubuike; UTH;C ;23 ;2174880;pivot;2
325;Jaden McDaniels; MIN;PF ;22 ;2161440;ala;1
326;Jordan McLaughlin; MIN;PG ;26 ;2160000;Base;2
327;Malachi Flynn; TOR;PG ;24 ;2145720;Base;2
328;Cameron Thomas; BKN;SG ;21 ;2138160;Escolta;1
329;DJ Wilson; TOR;PF ;26 ;2133278;ala;2
330;Luke Kornet; BOS;C ;27 ;2133278;pivot;3
331;Desmond Bane; MEM;SG ;24 ;2130240;Escolta;2
332;Jaden Springer; PHI;PG ;20 ;2125200;Base;1
333;Day'Ron Sharpe; BKN;C ;21 ;2109480;pivot;1
334;Jevon Carter; MIL;PG ;27 ;2100000;Base;3
335;Santi Aldama; MEM;PF ;22 ;2094120;ala;1
336;Frank Ntilikina; DAL;PG ;24 ;2036318;Base;2
337;Tony Bradley; CHI;C ;25 ;2036318;pivot;2
338;Jeremiah Robinson-Earl; OKC;PF ;22 ;2000000;ala;1
339;Kenrich Williams; OKC;SF ;28 ;2000000;Alero;3
340;Jaylin Williams; OKC;C ;20 ;2000000;pivot;1
341;Caleb Houstan; ORL;SF ;20 ;2000000;Alero;1
342;Garrison Mathews; HOU;SG ;26 ;2000000;Escolta;2
343;Shake Milton; PHI;SG ;26 ;1997718;Escolta;2
344;Edmond Sumner; BKN;PG ;27 ;1968175;Base;3
345;Dean Wade; CLE;PF ;26 ;1930681;ala;2
346;Jaylen Nowell; MIN;SG ;23 ;1930681;Escolta;2
347;Naz Reid; MIN;C ;23 ;1930681;pivot;2
348;Daniel Gafford; WAS;PF ;24 ;1930681;ala;2
349;Terance Mann; LAC;SG ;26 ;1930681;Escolta;2
350;Jalen McDaniels; CHA;PF ;25 ;1930681;ala;2
351;Isaiah Roby; SAS;SF ;24 ;1930681;Alero;2
352;Chimezie Metu; SAC;PF ;25 ;1910860;ala;2
353;Davon Reed; DEN;SG ;27 ;1902133;Escolta;3
354;Killian Tillie; MEM;PF ;24 ;1901625;ala;2
355;Theo Maledon; OKC;PG ;21 ;1900000;Base;1
356;Sviatoslav Mykhailiuk; TOR;SG ;25 ;1878720;Escolta;2
357;Thanasis Antetokounmpo; MIL;SF ;30 ;1878720;Alero;3
358;Moritz Wagner; ORL;C ;25 ;1878720;pivot;2
359;Wenyen Gabriel; LAL;PF ;25 ;1878720;ala;2
360;Keita Bates-Diop; SAS;SF ;27 ;1878720;Alero;3
361;Didi Louzada; POR;SF ;23 ;1876222;Alero;2
362;Oshae Brissett; IND;SF ;24 ;1846738;Alero;2
363;Juancho Hernangomez; TOR;PF ;27 ;1836090;ala;3
364;Serge Ibaka; MIL;C ;33 ;1836090;pivot;4
365;Wesley Matthews; MIL;SG ;36 ;1836090;Escolta;5
366;Luca Vildoza; MIL;PG ;27 ;1836090;Base;3
367;Robin Lopez; CLE;C ;34 ;1836090;pivot;4
368;Raul Neto; CLE;PG ;30 ;1836090;Base;3
369;Austin Rivers; MIN;PG ;30 ;1836090;Base;3
370;Bryn Forbes; MIN;SG ;29 ;1836090;Escolta;3
371;CJ Elleby; MIN;SF ;22 ;1836090;Alero;1
372;Theo Pinson; DAL;SG ;27 ;1836090;Escolta;3
373;Nathan Knight; MIN;PF ;25 ;1836090;ala;2
374;Taj Gibson; WAS;PF ;37 ;1836090;ala;5
375;Anthony Gill; WAS;PF ;30 ;1836090;ala;3
376;DeAndre Jordan; DEN;C ;34 ;1836090;pivot;4
377;Rodney McGruder; DET;SG ;31 ;1836090;Escolta;4
378;JaMychal Green; GSW;PF ;32 ;1836090;ala;4
379;Bruno Fernando; HOU;PF ;24 ;1836090;ala;2
380;Bismack Biyombo; PHX;C ;30 ;1836090;pivot;3
381;Damion Lee; PHX;SG ;30 ;1836090;Escolta;3
382;Josh Okogie; PHX;SF ;24 ;1836090;Alero;2
383;Frank Kaminsky; ATL;C ;29 ;1836090;pivot;3
384;Aaron Holiday; ATL;PG ;26 ;1836090;Base;2
385;Moses Brown; LAC;C ;23 ;1836090;pivot;2
386;Jay Scrubb; LAC;SG ;22 ;1836090;Escolta;1
387;Drew Eubanks; POR;PF ;25 ;1836090;ala;2
