fecha;inflación
Jun-03;0.001609144
Jul-03;0.004985873
Ago-03;0.011631112
set-03;0.008010026
Oct-03;0.005243527
Nov-03;0.00161325
Dic-03;0.006549984
Ene-04;0.021868999
Feb-04;0.000156593
Mar-04;0.006001774
Abr-04;0.01234696
May-04;0.010402788
Jun-04;0.003296648
Jul-04;0.010110201
Ago-04;0.01181063
set-04;0.002720348
Oct-04;-0.003304888
Nov-04;-0.002622983
Dic-04;0.000893167
Ene-05;0.003767785
Feb-05;-4.94E-05
Mar-05;0.004297145
Abr-05;0.010278857
May-05;0.000194723
Jun-05;0.00267692
Jul-05;0.012863453
Ago-05;0.002108694
set-05;0.007795313
Oct-05;0.00313197
Nov-05;-0.001182648
Dic-05;0.002178649
Ene-06;0.013657845
Feb-06;0.006666977
Mar-06;0.003195628
Abr-06;0.005216749
May-06;0.006291908
Jun-06;0.003194742
Jul-06;0.008507347
Ago-06;0.007894262
set-06;0.00537081
Oct-06;-0.002003294
Nov-06;0.000356856
Dic-06;0.003745652
Ene-07;0.017725455
Feb-07;0.006111135
Mar-07;0.008980867
Abr-07;0.012211902
May-07;0.007604078
Jun-07;0.001349129
Jul-07;0.008252284
Ago-07;0.017288178
set-07;0.004145971
Oct-07;-0.002289265
Nov-07;-0.002294518
Dic-07;0.003039014
Ene-08;0.007779234
Feb-08;0.009141139
Mar-08;0.011433633
Abr-08;0.003303746
May-08;0.008728081
Jun-08;0.012821521
Jul-08;0.004465673
Ago-08;0.010167395
set-08;0.006008419
Oct-08;0.003309621
Nov-08;0.001864336
Dic-08;0.009303577
Ene-09;0.007911808
Feb-09;-0.002678571
Mar-09;0.007684273
Abr-09;-0.000407196
May-09;0.004073621
Jun-09;0.011359864
Jul-09;0.009882936
Ago-09;0.012314026
set-09;0.002318696
Oct-09;-0.000106769
Nov-09;0.000569496
Dic-09;0.004695671
Ene-10;0.009347449
Feb-10;0.005577577
Mar-10;0.009488593
Abr-10;0.001762389
May-10;0.001586809
Jun-10;0.002824178
Jul-10;0.010852766
Ago-10;0.011959365
set-10;0.002988081
Oct-10;0.006426993
Nov-10;-0.000764984
Dic-10;0.005259129
Ene-11;0.0125
Feb-11;0.009382716
Mar-11;0.014187867
Abr-11;0.003376749
May-11;0.003269231
Jun-11;0.003546099
Jul-11;0.007544647
Ago-11;0.005592417
set-11;0.005090018
Oct-11;0.00712745
Nov-11;0.004190334
Dic-11;0.007047478
Ene-12;0.007366483
Feb-12;0.008318099
Mar-12;0.009881244
Abr-12;0.008168761
May-12;0.003917728
Jun-12;0.003015521
Jul-12;0.002652754
Ago-12;0.009348267
set-12;0.012145042
Oct-12;0.011481354
Nov-12;0.003499189
Dic-12;-0.007314169
Ene-13;0.019019877
Feb-13;0.009920969
Mar-13;0.006576757
Abr-13;0.004466132
May-13;0.003211198
Jun-13;0.004349967
Jul-13;0.007681621
Ago-13;0.010380342
set-13;0.013644755
Oct-13;0.008235015
Nov-13;0.002041938
Dic-13;-0.007210596
Ene-14;0.024394095
Feb-14;0.016569051
Mar-14;0.005837313
Abr-14;-0.000602954
May-14;0.003167421
Jun-14;0.003458127
Jul-14;0.007491759
Ago-14;0.00751041
set-14;0.010037641
Oct-14;0.005918889
Nov-14;0.001452855
Dic-14;-0.005295227
Ene-15;0.022168745
Feb-15;0.010986659
Mar-15;0.006986098
Abr-15;0.005676244
May-15;0.004877709
Jun-15;0.004507316
Jul-15;0.01208063
Ago-15;0.011800014
set-15;0.006876095
Oct-15;0.00602571
Nov-15;0.004259284
Dic-15;-0.005500331
Ene-16;0.024455254
Feb-16;0.016001041
Mar-16;0.010371319
Abr-16;0.004562159
May-16;0.009650561
Jun-16;0.003998251
Jul-16;0.003920105
Ago-16;0.005702244
set-16;0.002465179
Oct-16;0.001844338
Nov-16;0.000981836
Dic-16;-0.005456106
Ene-17;0.026012451
Feb-17;0.004986482
Mar-17;0.006755141
Abr-17;0.002197019
May-17;0.001303472
Jun-17;0.00147929
Jul-17;0.003190547
Ago-17;0.007715413
set-17;0.005376973
Oct-17;0.004592489
Nov-17;0.003356287
Dic-17;-0.003056693
Ene-18;0.027131783
Feb-18;0.008786257
Mar-18;0.002791581
Abr-18;0.000668114
May-18;0.008123296
Jun-18;0.009879132
Jul-18;0.005956935
Ago-18;0.006736568
set-18;0.004964654
Oct-18;0.002308973
Nov-18;0.003642987
Dic-18;-0.00384328
Ene-19;0.021701854
Feb-19;0.009755074
Mar-19;0.005505635
Abr-19;0.004287412
May-19;0.003960498
Jun-19;0.006404017
Jul-19;0.007635919
Ago-19;0.008841063
set-19;0.005157995
Oct-19;0.007522917
Nov-19;0.004203135
Dic-19;-0.00029545
Ene-20;0.020933898
Feb-20;0.006127274
Mar-20;0.013330776
Abr-20;0.019969714
May-20;0.005660202
Jun-20;0.000184536
Jul-20;0.00548893
Ago-20;0.005734208
set-20;0.006385696
Oct-20;0.005801305
Nov-20;0.002838861
Dic-20;-0.001887216
Ene-21;0.016026651
Feb-21;0.008241393
Mar-21;0.006152494
Abr-21;0.005022931
May-21;0.004563233
Jun-21;0.00666234
Jul-21;0.005200052
Ago-21;0.008507909
set-21;0.004620798
Oct-21;0.010380623
Nov-21;0.002547611
Dic-21;-0.000999792
Ene-22;0.017847463
Feb-22;0.01470769
Mar-22;0.011062661
Abr-22;0.004911748
May-22;0.004649315
Jun-22;0.005853967
Jul-22;0.007707432
Ago-22;0.008272848
set-22;0.008398483
Oct-22;0.002110919
Nov-22;-0.00280021
Dic-22;-0.002553296
Ene-23;0.015535491
Feb-23;0.010033059
Mar-23;0.009012279
Abr-23;0.007480126
May-23;-0.000100203
Jun-23;-0.004633785
Jul-23;-0.003617302
Ago-23;0.001719344
set-23;0.006104922
Oct-23;0.006257587
Nov-23;0.003431562
Dic-23;-0.001053038
Ene-24;0.015288836
Feb-24;0.006425724
Mar-24;0.00020301
Abr-24;0.0062851
May-24;0.003980433
Jun-24;0.003562006
Jul-24;0.00106516
Ago-24;0.002857929
set-24;0.003747128
Oct-24;0.003259124
Nov-24;0.00360538
Dic-24;0.003374358
Ene-25;0.011032182
Feb-25;0.006913455
Mar-25;0.00567858
Abr-25;0.003243164
May-25;0.001078537
Jun-25;-0.000881731
Jul-25;0.000541245
Ago-25;-0.000336441
set-25;0.004239811
Oct-25;0.003971563
Nov-25;0.001408588
Dic-25;-0.000934887
Ene-26;0.009176406
Feb-26;0.003497166
Mar-26;0.004070837
Abr-26;0.005370897
May-26;0.007042644
Jun-26;0.003732451
Jul-26;0.000656598
