referencia;Nombre_Jugador;Equipo ;Posicion;Edad;salario;Rango_edad
197;Pat Connaughton;MIL;escolta;27;4938273;3
198;Obi Toppin;NYK;ala;22;4862040;1
199;Kevon Looney;GSW;ala;24;4821429;2
200;Elfrid Payton;NYK;base;26;4767000;2
201;Garrett Temple;CHI;escolta;34;4767000;4
202;Josh Jackson;DET;escolta;23;4767000;2
203;Kris Dunn;ATL;base;26;4767000;2
204;Rui Hachimura;WAS;ala;22;4692840;1
205;Denzel Valentine;CHI;escolta;26;4642800;2
206;Kevin Knox;NYK;alero;21;4588680;1
207;DJ Wilson;HOU;ala;24;4548280;2
208;Deni Avdija;WAS;alero;19;4469160;1
209;Cam Reddish;ATL;alero;21;4458000;1
210;Mikal Bridges;PHX;alero;24;4359000;2
211;Jalen Smith;PHX;ala;20;4245720;1
212;Cameron Johnson;PHX;alero;24;4235160;2
213;JaVale McGee;DEN;pivot;32;4200000;4
214;Reggie Bullock;NYK;alero;29;4200000;3
215;Shai Gilgeous-Alexander;OKC;base;22;4141320;1
216;John Collins;ATL;ala;23;4137302;2
217;Willie Cauley-Stein;DAL;pivot;27;4100000;3
218;Devin Vassell;SAS;escolta;20;4033440;1
219;PJ Washington;CHA;ala;22;4023600;1
220;Dorian Finney-Smith;DAL;alero;27;4000000;3
221;Miles Bridges;CHA;alero;22;3934320;1
222;Jevon Carter;PHX;base;25;3925000;2
223;Jarrett Allen;CLE;pivot;22;3909902;1
224;Nicolo Melli;DAL;ala;29;3897436;3
225;OG Anunoby;TOR;alero;23;3872215;2
226;Gabriel Deck;OKC;alero;25;3870370;2
227;Tyrese Haliburton;SAC;base;20;3831840;1
228;Tyler Herro;MIA;escolta;20;3822240;1
229;Stanley Johnson;TOR;alero;24;3804150;2
230;Jake Layman;MIN;alero;26;3761085;2
231;Danuel House;HOU;alero;27;3717000;3
232;Kira Lewis Jr.;NOP;base;19;3640200;1
233;Romeo Langford;BOS;escolta;20;3631200;1
234;Maurice Harkless;SAC;alero;27;3623000;3
235;Bobby Portis;MIL;ala;25;3623000;2
236;Wesley Matthews;LAL;escolta;33;3623000;4
237;Kyle Kuzma;LAL;ala;25;3562178;2
238;Michael Porter Jr.;DEN;alero;22;3550800;1
239;Tony Bradley;OKC;pivot;22;3542060;1
240;Derrick White;SAS;base;26;3516284;2
241;Boban Marjanovic;DAL;pivot;32;3500000;4
242;Bismack Biyombo;CHA;pivot;28;3500000;3
243;T.J. McConnell;IND;base;28;3500000;3
244;Luca Vildoza;NYK;base;25;3500000;2
245;Josh Hart;NOP;escolta;25;3491159;2
246;Aaron Nesmith;BOS;alero;20;3458400;1
247;Sekou Doumbouya;DET;alero;19;3449400;1
248;Troy Brown Jr.;CHI;alero;21;3372840;1
249;Michael Carter-Williams;ORL;base;28;3300000;3
250;James Ennis III;ORL;alero;30;3300000;3
251;Cole Anthony;ORL;base;20;3285120;1
252;Facundo Campazzo;DEN;base;30;3200000;3
253;Chuma Okeke;ORL;ala;22;3121080;1
254;Isaiah Stewart;DET;pivot;19;3121080;1
255;Nickeil Alexander-Walker;NOP;escolta;22;3113160;1
256;Patrick Patterson;LAC;ala;31;3077704;4
257;Donte DiVincenzo;MIL;escolta;23;3044160;2
258;Trey Burke;DAL;base;27;3000000;3
259;Ryan Arcidiacono;CHI;base;26;3000000;2
260;Aleksej Pokusevski;OKC;ala;18;2964840;1
261;Goga Bitadze;IND;pivot;21;2957520;1
262;Lonnie Walker IV;SAS;escolta;21;2892000;1
263;Luka Samanic;SAS;ala;20;2824320;1
264;Josh Green;DAL;escolta;19;2816760;1
265;Kevin Huerter;ATL;escolta;22;2761920;1
266;Alex Caruso;LAL;escolta;26;2750000;2
267;Matisse Thybulle;PHI;escolta;23;2711280;2
268;Saddiq Bey;DET;escolta;21;2689920;1
269;Josh Okogie;MIN;alero;22;2651040;1
270;Brandon Clarke;MEM;alero;24;2602920;2
271;Precious Achiuwa;MIA;ala;21;2582160;1
272;Marc Gasol;LAL;pivot;35;2564753;5
273;Grayson Allen;MEM;escolta;24;2545320;2
274;Grant Williams;BOS;ala;21;2498760;1
275;Tyrese Maxey;PHI;base;19;2478840;1
276;Chandler Hutchison;WAS;alero;24;2443440;2
277;Darius Bazley;OKC;alero;20;2399160;1
278;Zeke Nnaji;DEN;ala;19;2379840;1
279;Aaron Holiday;IND;base;24;2345640;2
280;Bryn Forbes;MIL;escolta;27;2337145;3
281;Ty Jerome;OKC;base;23;2303040;2
282;Mike Muscala;OKC;ala;29;2283034;3
283;Anfernee Simons;POR;escolta;21;2252040;1
284;Brad Wanamaker;CHA;base;31;2250000;4
285;Luke Kornet;BOS;pivot;25;2250000;2
286;Nassir Little;POR;alero;20;2210640;1
287;RJ Hampton;ORL;base;19;2193480;1
288;Edmond Sumner;IND;base;24;2160000;2
289;Dylan Windler;CLE;escolta;24;2137440;2
290;Immanuel Quickley;NYK;escolta;21;2105520;1
291;John Konchar;MEM;escolta;24;2100000;2
292;Landry Shamet;BKN;base;23;2090040;2
293;Jordan Poole;GSW;escolta;21;2063280;1
294;Bol Bol;DEN;pivot;20;2058240;1
295;Keldon Johnson;SAS;escolta;20;2048040;1
296;Payton Pritchard;BOS;base;22;2035800;1
297;Robert Williams III;BOS;pivot;22;2029920;1
298;Damyean Dotson;CLE;escolta;26;2000000;2
299;Theo Maledon;OKC;base;19;2000000;1
300;Kenrich Williams;OKC;alero;25;2000000;2
301;Cameron Payne;PHX;base;26;1977011;2
302;Udoka Azubuike;UTH;pivot;21;1977000;1
303;Jaden McDaniels;MIN;ala;20;1964760;1
304;Malachi Flynn;TOR;base;22;1950600;1
305;Desmond Bane;MEM;escolta;22;1936440;1
306;Jontay Porter;MEM;ala;20;1900000;1
307;Jahlil Okafor;DET;pivot;24;1882867;2
308;David Nwaba;HOU;escolta;27;1824003;3
309;Timothe Luwawu-Cabarrot;BKN;escolta;25;1824003;2
310;Georges Niang;UTH;alero;27;1783557;3
311;P.J. Dozier;DEN;base;23;1762796;2
312;Furkan Korkmaz;PHI;escolta;23;1762796;2
313;Damion Lee;GSW;escolta;27;1762796;3
314;Alfonzo McKinnie;LAL;alero;28;1762796;3
315;Semi Ojeleye;BOS;ala;25;1752950;2
316;Abdel Nader;PHX;alero;27;1752950;3
317;DeAndre' Bembry;TOR;alero;26;1737145;2
318;Monte Morris;DEN;base;25;1723707;2
319;Kevin Porter Jr.;HOU;escolta;20;1717981;1
320;Brandon Goodwin;ATL;base;24;1701593;2
321;Shake Milton;PHI;escolta;24;1701593;2
322;Thanasis Antetokounmpo;MIL;alero;28;1701593;3
323;Wesley Iwundu;NOP;alero;25;1678854;2
324;Dwayne Bacon;ORL;escolta;25;1678854;2
325;Jalen Brunson;DAL;base;24;1663861;2
326;Devonte' Graham;CHA;base;25;1663861;2
327;Kendrick Nunn;MIA;escolta;25;1663861;2
328;Duncan Robinson;MIA;ala;26;1663861;2
329;Mitchell Robinson;NYK;pivot;22;1663861;1
330;Isaac Bonga;WAS;alero;20;1663861;1
331;Hamidou Diallo;DET;escolta;22;1663861;1
332;Sviatoslav Mykhailiuk;OKC;escolta;23;1663861;2
333;Bruce Brown Jr.;BKN;escolta;24;1663861;2
334;Jarred Vanderbilt;MIN;ala;21;1663861;1
335;Gary Trent Jr.;TOR;escolta;21;1663861;1
336;Carmelo Anthony;POR;ala;36;1620564;5
337;Harry Giles;POR;pivot;22;1620564;1
338;Sterling Brown;HOU;escolta;25;1620564;2
339;Willy Hernangomez;NOP;pivot;26;1620564;2
340;Wenyen Gabriel;NOP;ala;23;1620564;2
341;Hassan Whiteside;SAC;pivot;31;1620564;4
342;JaKarr Sampson;IND;alero;27;1620564;3
343;Udonis Haslem;MIA;ala;40;1620564;6
344;Raul Neto;WAS;base;28;1620564;3
345;Solomon Hill;ATL;alero;29;1620564;3
346;Wayne Ellington;DET;escolta;32;1620564;4
347;Dwight Howard;PHI;pivot;34;1620564;4
348;Nicolas Batum;LAC;alero;31;1620564;4
349;Reggie Jackson;LAC;base;30;1620564;3
350;Drew Eubanks;SAS;ala;23;1620564;2
351;Matthew Dellavedova;CLE;base;30;1620564;3
352;Isaiah Hartenstein;CLE;pivot;22;1620564;1
353;Kent Bazemore;GSW;escolta;31;1620564;4
354;E'Twaun Moore;PHX;escolta;31;1620564;4
355;Langston Galloway;PHX;escolta;28;1620564;3
356;Frank Kaminsky;PHX;pivot;27;1620564;3
357;Torrey Craig;PHX;alero;29;1620564;3
358;Jared Dudley;LAL;alero;35;1620564;5
359;Jeff Green;BKN;ala;34;1620564;4
360;Markieff Morris;LAL;ala;31;1620564;4
361;Tyler Johnson;BKN;escolta;28;1620564;3
362;Cody Martin;CHA;alero;25;1517981;2
363;Caleb Martin;CHA;alero;25;1517981;2
364;Jalen McDaniels;CHA;ala;22;1517981;1
365;Juwan Morgan;UTH;alero;23;1517981;2
366;Terence Davis;SAC;escolta;23;1517981;2
367;Justin James;SAC;escolta;23;1517981;2
368;Miye Oni;UTH;escolta;23;1517981;2
369;Matt Thomas;UTH;escolta;26;1517981;2
370;Vlatko Cancar;DEN;alero;23;1517981;2
371;Javonte Green;CHI;escolta;27;1517981;3
372;KZ Okpala;MIA;alero;21;1517981;1
373;Bruno Fernando;ATL;ala;22;1517981;1
374;Daniel Gafford;WAS;ala;22;1517981;1
375;Terance Mann;LAC;escolta;23;1517981;2
376;Dean Wade;CLE;ala;23;1517981;2
377;Carsen Edwards;BOS;base;22;1517981;1
378;Mychal Mulder;GSW;escolta;26;1517981;2
379;Eric Paschall;GSW;ala;23;1517981;2
380;Alen Smailagic;GSW;ala;20;1517981;1
381;Luguentz Dort;OKC;escolta;21;1517981;1
382;Isaiah Roby;OKC;alero;22;1517981;1
383;Nicolas Claxton;BKN;ala;21;1517981;1
384;Talen Horton-Tucker;LAL;escolta;19;1517981;1
385;Jaylen Nowell;MIN;escolta;21;1517981;1
386;Naz Reid;MIN;pivot;21;1517981;1
387;Robert Woodard II;SAC;escolta;21;1500000;1
388;Paul Watson;TOR;escolta;25;1445697;2
389;JaeÕSean Tate;HOU;alero;24;1445697;2
390;Kelan Martin;IND;alero;25;1445697;2
391;DaQuan Jeffries;SAS;escolta;23;1445697;2
392;Taj Gibson;NYK;ala;35;1442968;5
393;Vernon Carey Jr.;CHA;pivot;19;1350000;1
394;Xavier Tillman;MEM;ala;21;1300000;1
395;Tyrell Terry;DAL;base;20;1289846;1
396;Alex Len;WAS;pivot;27;1265372;3
397;Moses Brown;OKC;pivot;20;1250000;1
398;Nick Richards;CHA;pivot;22;1000000;1
399;Jahmi'us Ramsey;SAC;escolta;19;1000000;1
400;Gorgui Dieng;SAS;pivot;30;1000000;3
401;CJ Elleby;POR;alero;20;898310;1
402;Kenyon Martin Jr.;HOU;alero;19;898310;1
403;Elijah Hughes;UTH;alero;22;898310;1
404;Deividas Sirvydis;DET;alero;20;898310;1
405;Anthony Gill;WAS;ala;27;898310;3
406;Isaiah Joe;PHI;escolta;21;898310;1
407;Daniel Oturu;LAC;pivot;21;898310;1
408;Sam Merrill;MIL;escolta;24;898310;2
409;Jordan Nwora;MIL;ala;22;898310;1
410;Tre Jones;SAS;base;20;898310;1
411;Blake Griffin;BKN;ala;31;776983;4
412;Oshae Brissett;IND;alero;22;757453;1
413;Ersan Ilyasova;UTH;ala;33;754783;4
414;Chimezie Metu;SAC;ala;23;700000;2
415;Lamar Stevens;CLE;ala;23;652366;2
416;Paul Reed;PHI;ala;21;609128;1
417;Andre Drummond;LAL;pivot;27;554988;3
418;Jeff Teague;MIL;base;32;510589;4
419;Norvel Pelle;NYK;ala;27;500000;3
420;Ben McLemore;LAL;alero;27;455090;3
421;Dewayne Dedmon;MIA;pivot;31;432890;4
422;Jabari Parker;BOS;ala;25;430729;2
423;Khem Birch;TOR;ala;28;410691;3
