dog_name,birth_year,gender,breed,zipcode
SCOOBIE,2005,M,Jack Russell Terrier,11221
DINO,2003,M,Unknown,11221
BIANCA,2006,F,Shih Tzu,10023
CHRISTMAS,2008,F,Miniature Schnauzer,10016
CHASE,2011,M,Unknown,11414
LULU,2010,F,"Poodle, Miniature",11211
HARLEY,2014,F,Pomeranian,10009
ROCKO,2013,M,Chihuahua,10035
KINLEY,2012,F,German Shepherd Dog,11377
AUGIE,2008,M,Pug,11238
MOJEAU,2009,M,Brussels Griffon,10011
WENDELL,2011,M,Wire Fox Terrier,10023
RANGER,2014,M,German Shepherd Dog,11414
MURPHY,2010,M,Puggle,10463
SHASHI,2009,F,Jack Russell Terrier,10021
DAISY,2003,F,"Poodle, Standard",11234
AJAXX,2014,M,Miniature Pinscher,11222
TOBY,2012,M,Havanese,10033
ARCHIE,2011,F,Labrador Retriever,10027
AJA,2010,F,Unknown,10463
CODY,2012,M,Pug,10002
DEXTER,2013,M,Labrador Retriever Crossbreed,10032
BRIAN,2012,M,"Mastiff, Bull",10027
BARNEY,2004,M,Beagle,10024
Q,2008,M,Chihuahua,11222
OLIVER,2012,M,"Poodle, Miniature",10019
LOKI,2014,F,German Shepherd Crossbreed,11231
BECK,2012,M,Dachshund Smooth Coat,10027
DUKE,2012,M,Unknown,10306
WENDY,2011,F,German Wirehaired Pointer,10022
COOPER,2014,M,Unknown,11222
BELLA,2007,F,Chow Chow,11429
FINLEY,2013,M,"Poodle, Standard",11215
ROCKY,2004,M,Chihuahua,11222
GINNY,2004,F,Unknown,10022
BENNIE,2010,M,Dachshund Smooth Coat,10471
KYLA,2012,F,American Pit Bull Terrier/Pit Bull,11209
COCO,2012,F,Poodle,11378
SASHA,2012,F,Beagle,10014
DASHWOOD,2014,M,Shetland Sheepdog,10023
OLIVER,2014,M,English Setter,11238
WYLIE,2010,M,German Shepherd Dog,10014
COPPER,2007,M,"Welsh Corgi, Cardigan",10022
KODIE,2012,M,Border Collie,10301
TIKUIOE,2014,M,Yorkshire Terrier,11373
RICKY,2003,M,Chihuahua,10011
DARCY,2010,F,Dachshund,10014
HUNDLEY,2012,M,Chihuahua,11105
DAYO,2011,M,Unknown,10306
MCHUMBA,2012,M,Rhodesian Ridgeback,10306
KUMBUKA,2010,F,Rhodesian Ridgeback,10306
UMA,2009,F,Rottweiler,10456
RAYE,2008,F,Unknown,11105
JAKE,2013,M,Puggle,10026
PEBBLE,2012,F,Maltese,11249
PRINCESS,2008,F,Lhasa Apso,11694
LOUIE,2008,M,Papillon,11105
MADDIE,2007,F,Labrador Retriever Crossbreed,10471
SIMBA,2012,M,Golden Retriever,11426
JAKE,2012,M,Norwich Terrier,10027
WINSTON,2013,M,Wheaton Terrier,10021
MAXIMUS,2010,M,Dachshund Smooth Coat,11222
LUCY,2012,F,Dalmatian,11231
OONA,2013,F,Yorkshire Terrier,10021
LEO,2010,M,Rhodesian Ridgeback,11201
FRANNY,2014,F,German Shepherd Dog,10011
OZ,2013,M,Yorkshire Terrier,10021
MAXX,2014,M,Cane Corso,10301
BOOMER,2013,M,Collie Crossbreed,10461
B,2013,F,Unknown,10003
EDDIE,2011,M,Maltese,11225
JOANIE,2010,F,Chihuahua,11209
MAXI,2013,M,"Poodle, Toy",10282
BLUE,2009,F,American Pit Bull Terrier/Pit Bull,11218
VALENTINA,2011,F,Yorkshire Terrier,11229
EZE,2008,M,"Poodle, Standard",10002
REILY,2007,F,Maltese,11225
LLOYD,2006,M,Boston Terrier,10025
YOSHI,2009,F,Chihuahua,11378
LOLA,2002,F,Dachshund,10011
BUTCH,2012,M,Shih Tzu,10459
BARKLEY,2013,F,Jack Russell Terrier,11201
BUDDY,2014,M,Labrador Retriever Crossbreed,10016
QUEENIE,2004,F,Dachshund Smooth Coat,10003
ALISTAIR,2012,M,Labradoodle,10011
INDIANA,2013,M,Vizsla,10075
ZOEY,2012,F,American Pit Bull Mix / Pit Bull Mix,11416
LAYLA,2013,F,Havanese,10065
DASHIELL,2001,M,Unknown,11201
SENSATION,2014,F,Mastiff,10035
SEAVER,2013,M,Labrador Retriever Crossbreed,11106
BETSY,2006,F,Unknown,10021
ADELINE,2013,F,"Poodle, Toy",10036
SIMBA,2014,M,Beagle,11385
BUDDY,2010,M,Cocker Spaniel,10038
BLU,2014,M,Cane Corso,11216
BOURNE,2014,M,Golden Retriever,11201
TEMPTATION,2014,M,Mastiff,10035
COOKIE,2007,F,Yorkshire Terrier,11222
ZAI,2010,M,Belgian Malinois,11221
REMY,2011,M,Bichon Frise,11355
NUCKY,2012,F,"Bull Dog, French",11222
LILY,2007,F,Labrador Retriever,11378
DANNY,2006,M,Unknown,10471
BEAR,2013,M,Poodle,11215
GRACIE,2002,F,Unknown,10304
SWEETIE,2011,F,Unknown,11235
JASMINE,2007,F,Chihuahua,10304
ANGEL,2008,M,Yorkshire Terrier,11222
SCOUT,2013,F,"Poodle, Miniature",10023
TUNA,2005,F,Toy Fox Terrier,11221
CHEWY,2003,M,Greyhound,10314
JORDAN,2007,F,American Staffordshire Terrier,10040
BANDIT,2014,M,Shih Tzu,10001
SPENCER,2014,F,German Shepherd Crossbreed,11215
MIA,2009,F,Miniature American Shepherd,11106
SKIPPY,2004,M,Jack Russell Terrier,11215
CUSHI,2011,M,Yorkshire Terrier,11372
TRAVIS,2007,M,"Poodle, Miniature",10007
MAYBELLENE,2007,F,Unknown,11222
DAX,2009,M,"Welsh Corgi, Cardigan",10021
BEEZIE,2013,F,French Bulldog,10012
HENDRIX,2012,M,Shih Tzu,11375
CLARA,2012,F,Border Collie,11205
OTIS,2011,M,Labrador Retriever Crossbreed,11231
