"log.WR","age","age2","sex","race","marital","hs","assoc","coll","grad"
2.55104645229255,33,1089,"M","White","Married",TRUE,FALSE,FALSE,NA
2.63492793627325,31,961,"F","White","Married",TRUE,FALSE,FALSE,NA
3.09004295302523,50,2500,"M","Black","Divorced",FALSE,FALSE,TRUE,NA
2.44568593663472,37,1369,"F","White","Divorced",FALSE,TRUE,FALSE,NA
2.48650793115497,23,529,"F","White","Divorced",TRUE,FALSE,FALSE,NA
2.52572864430826,21,441,"M","White","Separated",FALSE,FALSE,FALSE,NA
3.20782598868162,53,2809,"M","Black","Divorced",FALSE,TRUE,FALSE,NA
2.18480205733766,29,841,"M","White","Married",FALSE,TRUE,FALSE,NA
2.70805020110221,20,400,"F","White","Married",FALSE,FALSE,FALSE,NA
3.00530172457014,54,2916,"M","White","Married",FALSE,TRUE,FALSE,NA
2.95651156040071,52,2704,"F","White","Married",FALSE,TRUE,FALSE,NA
2.70867539649613,25,625,"M","White","Separated",FALSE,TRUE,FALSE,NA
2.28316700713694,39,1521,"F","White","Divorced",TRUE,FALSE,FALSE,NA
1.68639895357023,55,3025,"F","White","Divorced",FALSE,FALSE,FALSE,NA
2.27825299233452,31,961,"F","White","Divorced",TRUE,FALSE,FALSE,NA
2.52572864430826,29,841,"F","White","Divorced",TRUE,FALSE,FALSE,NA
2.52572864430826,28,784,"M","Black","Married",TRUE,FALSE,FALSE,NA
2.52751595488235,25,625,"F","Black","Married",FALSE,TRUE,FALSE,NA
3.55656831789464,58,3364,"M","White","Married",FALSE,FALSE,FALSE,NA
2.52572864430826,52,2704,"F","White","Married",FALSE,FALSE,FALSE,NA
3.39834431267975,37,1369,"F","White","Single",FALSE,FALSE,TRUE,NA
2.36564322896118,56,3136,"F","White","Divorced",FALSE,TRUE,FALSE,NA
2.7333680090865,43,1849,"M","White","Married",FALSE,FALSE,FALSE,NA
1.70997914165598,35,1225,"F","White","Married",FALSE,TRUE,FALSE,NA
2.0949457282158,59,3481,"M","White","Married",FALSE,TRUE,FALSE,NA
4.0349211417513,40,1600,"M","White","Married",FALSE,FALSE,FALSE,NA
2.59983661646198,40,1600,"M","White","Divorced",TRUE,FALSE,FALSE,NA
2.3121545440102,57,3249,"M","Black","Married",TRUE,FALSE,FALSE,NA
3.67656619388058,46,2116,"F","White","Married",FALSE,TRUE,FALSE,NA
2.99833305525405,35,1225,"F","White","Married",FALSE,FALSE,TRUE,NA
3.17805383034795,37,1369,"M","White","Married",FALSE,FALSE,TRUE,NA
2.04022082852655,52,2704,"F","Black","Married",FALSE,FALSE,FALSE,NA
2.59983661646198,37,1369,"M","White","Married",TRUE,FALSE,FALSE,NA
2.28968168815814,32,1024,"F","White","Married",FALSE,TRUE,FALSE,NA
2.70161931077192,58,3364,"F","White","Married",FALSE,TRUE,FALSE,NA
2.32278780031156,50,2500,"F","White","Divorced",FALSE,TRUE,FALSE,NA
2.12026353620009,50,2500,"F","White","Separated",FALSE,TRUE,FALSE,NA
1.90668943590203,29,841,"M","White","Married",TRUE,FALSE,FALSE,NA
1.90668943590203,27,729,"F","White","Married",TRUE,FALSE,FALSE,NA
1.95320945153692,32,1024,"M","Black","Married",TRUE,FALSE,FALSE,NA
4.42399083377291,52,2704,"F","Black","Divorced",FALSE,FALSE,TRUE,NA
1.47590651980958,24,576,"M","Black","Single",FALSE,TRUE,FALSE,NA
3.26399626014867,44,1936,"M","Black","Married",FALSE,TRUE,FALSE,NA
3.1994577390111,46,2116,"F","Black","Married",FALSE,TRUE,FALSE,NA
2.26336437984076,24,576,"F","Black","Separated",TRUE,FALSE,FALSE,NA
2.92347170632251,43,1849,"M","White","Married",FALSE,FALSE,TRUE,NA
1.83258146374831,44,1936,"F","White","Married",FALSE,FALSE,FALSE,NA
2.66275044187255,31,961,"M","White","Married",TRUE,FALSE,FALSE,NA
3.02650393222074,58,3364,"F","Black","Divorced",FALSE,FALSE,FALSE,NA
1.78532857889776,20,400,"M","White","Single",TRUE,FALSE,FALSE,NA
2.79399263090294,49,2401,"M","White","Married",FALSE,TRUE,FALSE,NA
2.10084545034299,25,625,"M","White","Married",FALSE,FALSE,FALSE,NA
1.80383205046232,19,361,"M","White","Separated",FALSE,FALSE,FALSE,NA
3.09816207746374,44,1936,"M","White","Married",FALSE,TRUE,FALSE,NA
1.8578992717326,44,1936,"F","White","Married",TRUE,FALSE,FALSE,NA
2.24094092988284,26,676,"M","White","Married",FALSE,FALSE,FALSE,NA
1.74296930505862,24,576,"M","Black","Married",FALSE,TRUE,FALSE,NA
1.83258146374831,28,784,"F","Black","Married",TRUE,FALSE,FALSE,NA
2.27441421602735,23,529,"M","White","Single",TRUE,FALSE,FALSE,NA
1.93486031286873,36,1296,"F","White","Married",TRUE,FALSE,FALSE,NA
1.97568230738898,22,484,"M","White","Single",TRUE,FALSE,FALSE,NA
2.25379492882461,21,441,"M","White","Single",FALSE,FALSE,FALSE,NA
2.37669306514777,47,2209,"M","White","Married",FALSE,TRUE,FALSE,NA
2.87312995146166,48,2304,"F","White","Married",TRUE,FALSE,FALSE,NA
0.990398704027877,22,484,"M","White","Single",FALSE,FALSE,FALSE,NA
2.59625879511409,36,1296,"F","Black","Married",TRUE,FALSE,FALSE,NA
2.09151412291411,32,1024,"M","Black","Married",FALSE,TRUE,FALSE,NA
2.04022082852655,35,1225,"M","White","Single",FALSE,FALSE,FALSE,NA
1.43408502495624,41,1681,"M","Black","Married",TRUE,FALSE,FALSE,NA
2.77419000360676,42,1764,"M","White","Separated",FALSE,TRUE,FALSE,NA
2.63373816813766,59,3481,"M","White","Divorced",FALSE,TRUE,FALSE,NA
2.95651156040071,43,1849,"M","White","Married",FALSE,FALSE,FALSE,NA
3.09627350277587,51,2601,"F","White","Married",FALSE,FALSE,FALSE,NA
2.2512917986065,44,1936,"M","White","Single",FALSE,TRUE,FALSE,NA
3.10109278921182,52,2704,"F","White","Divorced",TRUE,FALSE,FALSE,NA
2.66882948794893,38,1444,"M","White","Married",FALSE,FALSE,FALSE,NA
2.5634689722911,36,1296,"F","White","Married",FALSE,FALSE,FALSE,NA
2.04022082852655,26,676,"F","Black","Single",TRUE,FALSE,FALSE,NA
2.81341071676004,28,784,"F","White","Single",FALSE,TRUE,FALSE,NA
2.02789021606908,25,625,"M","White","Single",TRUE,FALSE,FALSE,NA
3.10109278921182,25,625,"M","White","Single",FALSE,TRUE,FALSE,NA
2.76930001831256,28,784,"F","White","Married",TRUE,FALSE,FALSE,NA
2.20148897612268,19,361,"M","White","Separated",TRUE,FALSE,FALSE,NA
2.99573227355399,39,1521,"M","White","Married",FALSE,TRUE,FALSE,NA
2.30988439547566,38,1444,"F","White","Married",FALSE,TRUE,FALSE,NA
2.46510402249182,55,3025,"M","White","Married",FALSE,TRUE,FALSE,NA
1.79175946922805,53,2809,"F","White","Married",TRUE,FALSE,FALSE,NA
2.52572864430826,49,2401,"M","White","Married",TRUE,FALSE,FALSE,NA
2.97631418769689,40,1600,"F","White","Married",FALSE,TRUE,FALSE,NA
4.29460381970272,57,3249,"M","Black","Married",FALSE,FALSE,FALSE,NA
3.11066224022797,54,2916,"F","Black","Married",FALSE,FALSE,FALSE,NA
2.5634689722911,43,1849,"F","White","Married",TRUE,FALSE,FALSE,NA
3.11777970799683,40,1600,"M","Asian","Married",FALSE,TRUE,FALSE,NA
3.4673371841667,26,676,"M","White","Married",FALSE,FALSE,FALSE,NA
3.38795215491213,44,1936,"M","White","Married",FALSE,FALSE,TRUE,NA
2.5818181109593,37,1369,"M","White","Married",FALSE,FALSE,FALSE,NA
3.77849161280362,32,1024,"M","White","Married",TRUE,FALSE,FALSE,NA
2.58544787900988,52,2704,"M","White","Married",FALSE,TRUE,FALSE,NA
1.97834542480847,46,2116,"F","White","Married",TRUE,FALSE,FALSE,NA
1.34707364796661,18,324,"F","White","Single",FALSE,TRUE,FALSE,NA
3.49883585122607,43,1849,"F","White","Widow",FALSE,FALSE,TRUE,NA
2.54061157499997,47,2209,"M","White","Married",TRUE,FALSE,FALSE,NA
1.90444602497795,19,361,"M","White","Single",FALSE,FALSE,FALSE,NA
2.34032542097689,42,1764,"M","White","Married",FALSE,TRUE,FALSE,NA
2.34770552827452,48,2304,"F","White","Married",FALSE,FALSE,TRUE,NA
1.56218502758355,19,361,"F","White","Single",FALSE,TRUE,FALSE,NA
2.5818181109593,32,1024,"M","White","Married",TRUE,FALSE,FALSE,NA
1.97568230738898,30,900,"F","White","Married",TRUE,FALSE,FALSE,NA
3.36197666850887,43,1849,"M","White","Married",FALSE,TRUE,FALSE,NA
2.48650793115497,25,625,"M","Black","Single",TRUE,FALSE,FALSE,NA
2.5634689722911,35,1225,"F","White","Single",FALSE,FALSE,FALSE,NA
2.48650793115497,53,2809,"M","White","Married",FALSE,TRUE,FALSE,NA
3.03166428278005,45,2025,"F","White","Married",TRUE,FALSE,FALSE,NA
2.89037175789616,31,961,"M","White","Single",TRUE,FALSE,FALSE,NA
1.63475572041839,33,1089,"M","White","Single",FALSE,FALSE,FALSE,NA
1.93486031286873,36,1296,"F","White","Married",TRUE,FALSE,FALSE,NA
3.06124688066462,37,1369,"M","White","Married",FALSE,TRUE,FALSE,NA
1.83258146374831,19,361,"M","White","Single",TRUE,FALSE,FALSE,NA
2.95651156040071,48,2304,"M","White","Married",FALSE,TRUE,FALSE,NA
3.00530172457014,48,2304,"F","White","Married",FALSE,FALSE,FALSE,NA
2.97631418769689,57,3249,"M","White","Married",FALSE,TRUE,FALSE,NA
2.63905732961526,28,784,"M","White","Single",FALSE,TRUE,FALSE,NA
3.08167470335472,39,1521,"M","White","Married",FALSE,TRUE,FALSE,NA
2.64635663209687,41,1681,"M","White","Married",FALSE,TRUE,FALSE,NA
1.5500144919633,40,1600,"F","White","Married",FALSE,TRUE,FALSE,NA
2.80236088057345,42,1764,"M","White","Married",FALSE,FALSE,FALSE,NA
2.26336437984076,40,1600,"F","White","Married",TRUE,FALSE,FALSE,NA
1.97568230738898,19,361,"M","White","Single",FALSE,TRUE,FALSE,NA
3.58004067407979,52,2704,"F","Black","Divorced",TRUE,FALSE,FALSE,NA
1.80132892024421,20,400,"M","Black","Separated",FALSE,FALSE,FALSE,NA
1.45368338302487,59,3481,"F","White","Married",FALSE,FALSE,FALSE,NA
2.61274002129789,31,961,"M","White","Married",FALSE,TRUE,FALSE,NA
3.07429459605709,35,1225,"F","NativeAmerican","Single",FALSE,FALSE,FALSE,NA
1.90668943590203,50,2500,"M","White","Married",FALSE,FALSE,FALSE,NA
1.8860701486993,43,1849,"F","White","Married",FALSE,TRUE,FALSE,NA
2.97304086235192,55,3025,"M","White","Married",FALSE,FALSE,FALSE,NA
2.24196047117761,57,3249,"M","White","Married",TRUE,FALSE,FALSE,NA
2.62800749342867,55,3025,"F","White","Married",FALSE,TRUE,FALSE,NA
1.75253875607477,24,576,"F","White","Single",FALSE,TRUE,FALSE,NA
1.28093384546206,28,784,"F","White","Single",FALSE,TRUE,FALSE,NA
